number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
76,supercollider/SC_200401_131345.aiff,172.265625,1.0,0.35943260657751364,0.030402888790184983,2022.3567061965634,1224.945619657141,1478.9946244465827,0.3497565649098251,1.4226841262084449,300.2073559473598,570.4270347151124,1.431166653896693
77,supercollider/SC_200401_131629.aiff,86.1328125,0.0,0.46382331695514545,0.02157574629099377,1528.629422247669,947.0806707765812,1322.5679693170177,0.15747793550244826,1.4418080654243133,159.91932616196013,288.7502934850428,3.380745734669277
78,supercollider/SC_200401_131934.aiff,107.666015625,1.0,0.3631140166075255,0.02599271509266112,1822.443795972229,1075.3498538222525,1431.1487489890112,0.16714503332114106,1.3081134660344191,81.1595372798892,286.3395015923533,3.6646701567224103
79,supercollider/SC_200401_132214.aiff,129.19921875,0.0,0.45279647293506886,0.031847498890008014,2367.9484798707217,1289.3814591759983,1395.5968912373885,0.17727564883251729,1.334131505302653,122.58668007645748,304.0581762872365,2.7456288186354905
80,supercollider/SC_200401_132440.aiff,150.732421875,1.0,0.39908357695148855,0.029315457082426673,2248.472475587163,1312.493608850756,1631.8054284173104,0.23786459608449037,1.189197824773202,216.5926200560513,496.13450628454655,2.563755508978641
81,supercollider/SC_200401_133115.aiff,172.265625,0.0,0.37673133346073867,0.05448303567245188,6332.033268359321,2786.032524662604,3137.3242904531253,0.21450803472342458,1.1647807110048132,228.31827425537165,352.91751140368615,2.6461259384036477
82,supercollider/SC_200401_141307.aiff,86.1328125,1.0,0.25678726157903103,0.08133889552604573,5136.776525641308,2834.458933065022,2866.8814919318993,0.15445277638087243,0.9265683851198798,13.96899789763877,320.46382518587166,6.580897679089708
83,supercollider/SC_200401_141540.aiff,107.666015625,0.0,0.5260656021794807,0.012422048771582844,1100.7816308261667,743.369774038957,1268.6263695210257,0.16388592658622103,1.4021125391851936,121.40625711277184,341.64697934459275,5.117114467828636
84,supercollider/SC_200401_141924.aiff,129.19921875,1.0,0.4635829042370221,0.0184528383872835,1270.22689699605,806.2557984314749,1061.0348346080943,0.22240475760810707,1.3563558650806584,223.47868014342177,327.98635112155057,2.074430734737918
85,supercollider/SC_200401_142130.aiff,150.732421875,0.0,0.41063179670747846,0.03465197683893631,2659.448193223634,1432.970745460786,1728.302096211223,0.14634767416603942,1.4734944360196742,95.17817634065108,225.5394811520153,2.7874641080481477
